NODE;X_COORD;Y_COORD
2,35E+02;4,31E+05;917939
2,36E+02;1,01E+06;782917
2,37E+02;9,10E+05;348187
2,38E+02;1,04E+06;806200
2,39E+02;6,04E+05;14088
2,40E+02;1,03E+06;373033
2,41E+02;5,96E+05;265288
2,42E+02;4,80E+05;146778
2,43E+02;9,69E+05;830827
2,44E+02;5,21E+05;159727
2,45E+02;9,27E+05;891801
2,46E+02;5,85E+04;918647
2,47E+02;6,79E+05;289512
2,48E+02;9,22E+05;539806
2,49E+02;1,07E+06;310233
2,50E+02;9,82E+05;537701
2,51E+02;5,54E+05;90137
2,52E+02;5,47E+05;252022
2,53E+02;9,70E+05;920258
2,54E+02;5,43E+05;244277
2,55E+02;1,04E+06;501176
2,56E+02;9,39E+05;649000
2,57E+02;7,55E+05;486107
2,58E+02;2,45E+05;17631
2,59E+02;8,59E+05;515363
2,60E+02;9,28E+05;569207
2,61E+02;2,29E+05;290039
2,62E+02;8,98E+05;777460
2,63E+02;4,86E+05;321618
2,64E+02;3,54E+05;925489
2,65E+02;3,07E+05;958761
2,66E+02;9,21E+05;668651
2,67E+02;9,66E+04;655604
2,68E+02;9,27E+05;806400
2,69E+02;7,48E+05;485823
2,70E+02;6,34E+05;235913
2,71E+02;5,20E+05;120787
2,72E+02;2,59E+05;144892
2,73E+02;4,60E+05;274123
2,74E+02;1,45E+05;681646
2,75E+02;9,59E+05;742510
2,76E+02;-3,14E+04;952162
2,77E+02;3,32E+05;1086172
2,78E+02;1,07E+05;669849
2,79E+02;1,04E+06;454099
2,80E+02;8,80E+05;607529
2,81E+02;6,69E+05;506855
2,82E+02;5,48E+05;296059
2,83E+02;3,27E+05;746737
2,84E+02;4,29E+05;1062179
2,85E+02;9,76E+05;448528
2,86E+02;6,12E+05;341592
2,87E+02;9,89E+05;800767
2,88E+02;5,58E+05;154408
2,89E+02;5,60E+05;-6998
2,90E+02;9,35E+05;858189
2,91E+02;8,51E+05;352948
2,92E+02;9,54E+05;573916
2,93E+02;4,75E+05;332139
2,94E+02;4,72E+05;180641
2,95E+02;2,72E+05;832653
2,96E+02;9,19E+05;797087
2,97E+02;5,46E+05;277676
2,98E+02;6,09E+04;739114
2,99E+02;9,12E+05;481207
3,00E+02;9,96E+05;513246
3,01E+02;3,36E+05;924492
3,02E+02;6,70E+05;367077
3,03E+02;2,13E+05;317798
3,04E+02;3,82E+05;966747
3,05E+02;8,52E+05;331130
3,06E+02;3,80E+05;905379
3,07E+02;4,80E+05;310225
3,08E+02;2,65E+05;696793
3,09E+02;5,06E+05;308854
3,10E+02;1,01E+06;349543
3,11E+02;1,17E+04;929818
3,12E+02;9,66E+05;432460
3,13E+02;6,66E+04;742265
3,14E+02;9,86E+05;788152
3,15E+02;1,77E+05;269057
3,16E+02;5,83E+05;1622
3,17E+02;1,04E+06;969352
3,18E+02;4,47E+05;133055
3,19E+02;3,57E+05;1073600
3,20E+02;9,40E+05;731450
3,21E+02;9,81E+05;433554
3,22E+02;4,67E+05;281154
3,23E+02;2,08E+05;260745
3,24E+02;9,91E+05;511078
3,25E+02;8,76E+05;392312
3,26E+02;5,67E+05;39284
3,27E+02;6,50E+05;356055
3,28E+02;5,84E+05;-22935
3,29E+02;1,06E+06;306326
3,30E+02;2,21E+05;66433
3,31E+02;1,07E+06;307643
3,32E+02;9,58E+05;969635
3,33E+02;4,24E+05;668
3,34E+02;5,83E+05;731
3,35E+02;4,51E+05;1012748
3,36E+02;7,36E+05;451426
3,37E+02;7,01E+05;501219
3,38E+02;5,94E+05;80877
3,39E+02;1,04E+06;825056
3,40E+02;1,03E+06;436629
3,41E+02;4,62E+05;153079
3,42E+02;4,16E+05;924813
3,43E+02;2,32E+05;255900
3,44E+02;3,64E+05;-43699
3,45E+02;9,89E+05;332654
3,46E+02;4,21E+05;975030
3,47E+02;2,24E+05;-21641
3,48E+02;1,00E+06;586633
3,49E+02;6,63E+05;512705
3,50E+02;8,08E+05;416004
3,51E+02;4,92E+05;192175
3,52E+02;6,14E+03;954238
3,53E+02;1,65E+04;957178
3,54E+02;2,45E+05;753540
3,55E+02;1,02E+06;948217
3,56E+02;9,59E+05;326754
3,57E+02;5,81E+05;30503
3,58E+02;2,99E+05;80977
3,59E+02;1,21E+05;663858
3,60E+02;1,02E+06;422262
3,61E+02;9,46E+04;726847
3,62E+02;6,11E+05;362851
3,63E+02;9,17E+04;971621
3,64E+02;9,22E+05;410703
3,65E+02;4,07E+05;188306
3,66E+02;9,88E+05;994165
3,67E+02;2,52E+05;211268
3,68E+02;1,03E+06;318790
3,69E+02;2,28E+05;675784
3,70E+02;1,82E+05;160602
3,71E+02;1,94E+05;204264
3,72E+02;9,90E+05;616589
3,73E+02;9,62E+05;471277
3,74E+02;4,87E+05;48736
3,75E+02;4,28E+05;364305
3,76E+02;7,36E+05;465004
3,77E+02;4,37E+05;106871
3,78E+02;9,59E+05;867596
3,79E+02;6,29E+05;270211
3,80E+02;4,71E+05;43382
3,81E+02;4,03E+05;1013043
3,82E+02;4,05E+05;1028002
3,83E+02;1,94E+05;210876
3,84E+02;1,01E+06;885952
3,85E+02;1,01E+06;538259
3,86E+02;9,03E+05;642791
3,87E+02;9,94E+05;638276
3,88E+02;5,22E+05;191446
3,89E+02;7,15E+05;318286
3,90E+02;7,29E+05;445581
3,91E+02;7,39E+05;510144
3,92E+02;1,04E+06;908389
3,93E+02;4,40E+05;957757
3,94E+02;6,47E+05;77788
3,95E+02;7,01E+05;273839
3,96E+02;9,79E+05;819659
3,97E+02;8,59E+05;418430
3,98E+02;9,72E+05;787831
3,99E+02;2,70E+05;710141
4,00E+02;7,38E+05;578273
401;484930;251860
402;500191;-26033
403;362059;68965
404;612083;543519
405;554854;268201
406;878413;471867
407;539006;1025381
408;245354;726275
409;945490;733405
410;151112;643610
411;819079;401742
412;239369;615866
413;93844;715303
414;654552;326167
415;559275;343566
416;1006204;947646
417;988530;916792
418;464115;303033
419;523173;100275
420;921151;812598
421;676588;297348
422;933932;531876
423;408939;843555
424;429721;903177
425;468369;64403
426;298552;1013038
427;706940;538562
428;780993;543894
429;211184;769048
430;-19602;939224
431;1011976;334905
432;-25612;921356
433;924623;947340
434;672420;269141
435;1024507;896037
436;266904;961713
437;132613;677948
438;875129;479594
439;1049423;235210
440;588992;53006
441;1078221;373636
442;550890;270379
443;956122;1038055
444;231228;167524
445;467163;230055
446;454650;1052608
447;996903;414772
448;940924;965838
449;1056149;295786
450;-32639;948889
451;311050;772121
452;965473;375774
453;582987;18222
454;297849;975299
455;886062;922681
456;125389;669051
457;137649;760563
458;499475;192284
459;1032876;941817
460;280443;72557
461;467677;274481
462;584334;333219
463;216596;112130
464;355392;316783
465;47737;937785
466;968865;419997
467;968345;900197
468;337832;85886
469;483020;26164
470;630749;18033
471;508742;242729
472;738072;552741
473;-42807;742616
474;214132;253225
475;427704;102739
476;196468;145775
477;328593;930881
478;676648;481141
479;985859;345756
480;586228;316703
481;241578;733792
482;142239;639607
483;262460;78923
484;1045599;878351
485;314906;713219
486;705527;573223
487;573839;9502
488;1020076;930750
489;402335;171357
490;234089;840628
491;604719;10667
492;471260;993914
493;699782;571009
494;803964;497264
495;981138;895940
496;264833;656457
497;205046;212685
498;547376;297596
499;939129;436355
500;276562;54902
501;424716;1056496
502;374272;338061
503;609493;377343
504;454903;383462
505;980879;445657
506;586741;11796
507;-66860;946391
508;226294;-19579
509;633795;201125
510;962085;418253
511;936941;390671
512;951558;612395
513;737989;286287
514;935538;621822
515;429226;1004615
516;190397;193917
517;527074;282489
518;396285;914521
519;551607;277715
520;354006;1036799
521;988606;579963
522;292451;90499
523;293468;937461
524;1021595;559791
525;140233;683418
526;475448;139665
527;704096;464113
528;939312;289768
529;562795;360371
530;264747;679787
531;732283;440709
532;904865;460315
533;880687;814777
534;1028738;564102
535;701344;585671
536;460729;1006780
537;17661;665446
538;924120;509961
539;893668;413430
540;724429;448985
541;1011477;852681
542;944828;1061237
543;281717;1074546
544;945987;620376
545;211889;212670
546;338351;993235
547;969541;826989
548;391960;997694
549;620243;361020
550;989319;913958
551;983241;224412
552;31448;1007200
553;472642;161804
554;3096;681954
555;846532;517406
556;720385;476030
557;901236;407240
558;231615;205337
559;323564;-14633
560;1006297;273107
561;959041;593009
562;927490;647326
563;667168;386980
564;63198;960864
565;447902;1011589
566;706462;496735
567;984033;396451
568;535890;376567
569;538048;-50553
570;724926;427909
571;1016020;923175
572;248641;1355
573;153124;652050
574;169397;161570
575;941971;380204
576;985670;802017
577;677055;329993
578;282891;982700
579;732561;479132
580;12023;907259
581;615106;340654
582;705497;450925
583;295221;907635
584;437884;368808
585;886759;823658
586;-1009;900487
587;674955;460347
588;634530;346286
589;142076;630144
590;127300;752001
591;961169;760362
592;733859;528201
593;685789;568701
594;911655;360648
595;660257;551875
596;-468;937668
597;370706;930168
598;430828;996317
599;465714;101740
600;943087;396383
601;929131;566287
602;625649;234331
603;925654;915305
604;991261;786323
605;687356;478890
606;258989;7413
607;215395;1004343
608;987715;553698
609;281449;53771
610;946583;603511
611;310449;719995
612;779078;472474
613;477278;57114
614;1056501;478555
615;1006854;618170
616;116475;708021
617;539650;122967
618;547597;11902
619;718327;480379
620;946877;571733
621;924351;330022
622;189682;670820
623;969343;849430
624;979579;542407
625;1035291;679060
626;490558;102790
627;328361;1072479
628;495265;15006
629;977943;877833
630;70214;708048
631;535826;-37128
632;997789;456905
633;997259;570659
634;1017941;490832
635;983613;420392
636;926340;401716
637;546465;13270
638;308807;935109
639;272709;739256
640;1017780;671686
641;779705;588491
642;932846;419379
643;411669;53004
644;1072392;859448
645;422565;987398
646;701179;522878
647;25704;903092
648;1010606;829382
649;1022936;850217
650;875726;328781
651;871149;581702
652;906435;280536
653;317997;54917
654;442621;153855
655;946788;638911
656;795330;472684
657;982007;805294
658;992720;315703
659;950304;532116
660;503723;322399
661;667818;300369
662;945726;473613
663;314187;765703
664;974429;301528
665;474524;121509
666;957654;468722
667;340458;950903
668;27376;840979
669;484975;24432
670;100835;697230
671;1040844;329988
672;936487;251273
673;350473;985367
674;447872;361398
675;35998;898159
676;430131;-46452
677;759022;405634
678;691853;309522
679;946798;691984
680;718965;500142
681;811686;577423
682;963928;321668
683;399467;-23317
684;601370;352014
685;321756;910244
686;966051;360943
687;800004;480282
688;862321;627290
689;459074;186439
690;944684;447163
691;515450;-7619
692;499971;199155
693;482378;108880
694;1015683;276266
695;776289;484559
696;642784;388059
697;357306;1022767
698;355571;1022950
699;705469;250661
700;99143;758382
701;539046;163668
702;910116;758870
703;970865;836094
704;987317;396579
705;187531;325360
706;-55457;984014
707;340464;971856
708;1056506;924297
709;492438;-5725
710;493090;36922
711;765498;522180
712;332241;902072
713;409431;960349
714;973283;270933
715;311128;-28096
716;364235;45159
717;585415;36684
718;1029023;684164
719;235270;736169
720;708564;515507
721;88648;720358
722;397266;173977
723;615650;45717
724;311391;2266
725;588785;374935
726;483250;361010
727;954790;611306
728;977133;519341
729;1043617;848664
730;460937;-58176
731;625325;17660
732;441303;308739
733;257737;689159
734;990228;319463
735;184916;220310
736;524859;174578
737;243218;779732
738;949909;834209
739;-3390;971979
740;745598;392546
741;887937;674470
742;38110;1005395
743;778794;450468
744;872346;405435
745;1038628;984843
746;586318;94344
747;893464;461786
748;919372;368319
749;1008882;911406
750;925592;254331
751;512901;76487
752;147433;681941
753;154332;729689
754;195225;246717
755;931133;781389
756;721444;512772
757;1005945;529653
758;572331;127874
759;982349;984363
760;882545;360660
761;52812;655492
762;652110;389167
763;900140;399150
764;416896;948028
765;30162;1071796
766;426808;882098
767;1081531;760691
768;347819;911147
769;1008862;484618
770;683676;273310
771;428352;1016931
772;220389;186688
773;950373;985247
774;986560;926213
775;474152;282569
776;899500;802132
777;904784;412284
778;282410;679653
779;361694;943523
780;1005649;914192
781;931284;886615
782;187218;260511
783;352297;948683
784;368108;994487
785;75677;743816
786;1003840;256874
787;962545;871498
788;743979;530985
789;680366;388903
790;84928;639998
791;445228;118645
792;354073;872216
793;532794;214994
794;339629;968355
795;-7351;896931
796;762244;519684
797;944551;580456
798;820477;530979
799;460043;68606
800;900385;428005
801;83117;722049
802;349317;802335
803;442937;47268
804;172669;181061
805;169754;262994
806;928093;397693
807;316341;1011443
808;150509;218739
809;334349;139
810;352228;1014244
811;884465;414478
812;-1710;971566
813;440031;60986
814;580725;52013
815;455397;72979
816;294417;114808
817;977455;518526
818;596709;-15476
819;760043;505809
820;-12335;860108
821;744488;503129
822;946945;785720
823;605785;68128
824;911400;835499
825;896611;521615
826;977624;796432
827;296205;66839
828;695886;286002
829;943452;487818
830;930102;501223
831;459242;199000
832;951298;376897
833;266151;771467
834;371983;1063470
835;983827;223334
836;929420;264511
837;120587;678257
838;540368;238586
839;479812;302306
840;707664;486137
841;626603;371290
842;979014;669835
843;-41255;855960
844;674683;582291
845;319656;146164
846;380686;73443
847;616430;236955
848;220857;714539
849;262205;729044
850;516732;171776
851;212889;202133
852;952026;905293
853;357481;971257
854;970806;393994
855;736611;504924
856;351535;706086
857;807698;507290
858;973108;578200
859;638119;260212
860;516292;374529
861;21469;966722
862;1031106;832736
863;491449;223659
864;1029297;480592
865;927124;334453
866;6193;910377
867;167224;691113
868;782967;501808
869;150856;706386
870;229431;700987
871;960562;523857
872;187356;772891
873;44426;636871
874;883633;873681
875;292732;56917
876;1041102;448822
877;634243;43429
878;973132;815365
879;589981;266128
880;515390;187116
881;104334;628220
882;930933;687697
883;450418;38658
884;932379;564517
885;720955;526394
886;1000565;801054
887;434311;4843
888;522056;34977
889;448479;-9391
890;624332;-6840
891;31184;989240
892;903356;511932
893;1013770;481816
894;642717;317627
895;-128049;938535
896;950864;474256
897;454526;361210
898;465537;1034177
899;539150;284629
900;1025430;456081
901;270312;220371
902;722401;342889
903;544331;-62551
904;764125;469810
905;691565;533430
906;678488;536384
907;939684;878762
908;732116;577970
909;503352;412014
910;602628;60605
911;91569;616426
912;509668;17170
913;80611;1040930
914;982004;503921
915;557669;16852
916;993434;909979
917;960238;294057
918;81477;1011634
919;581260;352400
920;520607;46851
921;677991;501342
922;224003;29895
923;517623;348081
924;445689;97500
925;692681;553133
926;226268;643936
927;76803;611857
928;114442;669869
929;523291;36705
930;919756;474725
931;855250;320217
932;91707;700865
933;477428;264380
934;528937;13390
935;720723;492863
936;471015;121757
937;962521;735638
938;601802;306710
939;253366;765380
940;763790;486237
941;173215;228150
942;911291;784897
943;653289;435846
944;757300;427229
945;326009;899531
946;49579;994405
947;518363;20767
948;624640;334003
949;477789;925461
950;437175;133612
951;632951;312899
952;948477;583247
953;893520;471855
954;245729;198583
955;510819;308837
956;517765;7553
957;357859;983251
958;667482;276121
959;983726;884744
960;313011;1062109
961;-75489;969207
962;443034;166265
963;316916;968159
964;984228;650226
965;775882;394219
966;531154;79184
967;993413;605080
968;424139;35597
969;213934;726127
970;975011;280267
971;1003439;522486
972;317064;969880
973;330573;979271
974;752757;506388
975;114886;677219
976;443651;395082
977;865120;334131
978;514730;337115
979;971838;295842
980;1050575;262706
981;393246;1018921
982;694154;518752
983;545841;13000
984;237960;772181
985;502911;52466
986;895631;833752
987;891249;380318
988;955040;963510
989;709160;533608
990;729378;434347
991;797169;329378
992;890134;413658
993;233217;169506
994;958598;392349
995;759853;414015
996;907200;300490
997;951396;473596
998;460030;374534
999;543108;65803
1000;471287;119659
